2024-11-08 17:13:33,984,2024/11/08, 17:13:33,匿名ユーザ,Press button,128
2024-11-08 17:26:52,917,2024/11/08, 17:26:52,匿名ユーザ,Press button,50
2024-11-08 17:26:53,057,2024/11/08, 17:26:53,匿名ユーザ,Press button,60
2024-11-08 17:26:53,175,2024/11/08, 17:26:53,匿名ユーザ,Press button,70
2024-11-08 17:26:53,278,2024/11/08, 17:26:53,匿名ユーザ,Press button,80
2024-11-08 17:26:53,794,2024/11/08, 17:26:53,匿名ユーザ,Press button,90
2024-11-08 17:26:53,940,2024/11/08, 17:26:53,匿名ユーザ,Press button,99
2024-11-08 17:26:54,085,2024/11/08, 17:26:54,匿名ユーザ,Press button,109
2024-11-08 17:26:54,225,2024/11/08, 17:26:54,匿名ユーザ,Press button,119
2024-11-08 17:26:54,366,2024/11/08, 17:26:54,匿名ユーザ,Press button,129
2024-11-08 17:26:54,513,2024/11/08, 17:26:54,匿名ユーザ,Press button,139
2024-11-08 17:26:54,692,2024/11/08, 17:26:54,匿名ユーザ,Press button,149
2024-11-08 17:26:54,841,2024/11/08, 17:26:54,匿名ユーザ,Press button,159
2024-11-08 17:26:54,971,2024/11/08, 17:26:54,匿名ユーザ,Press button,168
2024-11-08 17:26:55,123,2024/11/08, 17:26:55,匿名ユーザ,Press button,178
2024-11-08 17:26:55,255,2024/11/08, 17:26:55,匿名ユーザ,Press button,188
2024-11-08 17:26:55,403,2024/11/08, 17:26:55,匿名ユーザ,Press button,198
2024-11-08 17:26:55,554,2024/11/08, 17:26:55,匿名ユーザ,Press button,208
2024-11-08 17:26:55,706,2024/11/08, 17:26:55,匿名ユーザ,Press button,218
2024-11-08 17:26:55,849,2024/11/08, 17:26:55,匿名ユーザ,Press button,228
2024-11-08 17:26:55,992,2024/11/08, 17:26:55,匿名ユーザ,Press button,237
2024-11-08 17:26:56,289,2024/11/08, 17:26:56,匿名ユーザ,Press button,247
2024-11-08 17:26:56,455,2024/11/08, 17:26:56,匿名ユーザ,Press button,257
2024-11-08 17:26:56,609,2024/11/08, 17:26:56,匿名ユーザ,Press button,267
2024-11-08 17:26:56,779,2024/11/08, 17:26:56,匿名ユーザ,Press button,277
2024-11-08 17:26:56,947,2024/11/08, 17:26:56,匿名ユーザ,Press button,286
2024-11-08 17:26:57,144,2024/11/08, 17:26:57,匿名ユーザ,Press button,296
2024-11-08 17:26:57,339,2024/11/08, 17:26:57,匿名ユーザ,Press button,306
2024-11-08 17:26:57,524,2024/11/08, 17:26:57,匿名ユーザ,Press button,316
2024-11-08 17:26:57,691,2024/11/08, 17:26:57,匿名ユーザ,Press button,326
2024-11-08 17:26:57,856,2024/11/08, 17:26:57,匿名ユーザ,Press button,336
2024-11-08 17:26:58,028,2024/11/08, 17:26:58,匿名ユーザ,Press button,345
2024-11-08 17:26:58,203,2024/11/08, 17:26:58,匿名ユーザ,Press button,355
2024-11-08 17:26:58,371,2024/11/08, 17:26:58,匿名ユーザ,Press button,365
2024-11-08 17:26:58,554,2024/11/08, 17:26:58,匿名ユーザ,Press button,375
2024-11-08 17:26:58,735,2024/11/08, 17:26:58,匿名ユーザ,Press button,385
2024-11-08 17:26:58,932,2024/11/08, 17:26:58,匿名ユーザ,Press button,394
2024-11-08 17:26:59,109,2024/11/08, 17:26:59,匿名ユーザ,Press button,404
2024-11-08 17:26:59,283,2024/11/08, 17:26:59,匿名ユーザ,Press button,414
2024-11-08 17:26:59,442,2024/11/08, 17:26:59,匿名ユーザ,Press button,424
2024-11-08 17:26:59,642,2024/11/08, 17:26:59,匿名ユーザ,Press button,434
2024-11-08 17:26:59,803,2024/11/08, 17:26:59,匿名ユーザ,Press button,444
2024-11-08 17:26:59,977,2024/11/08, 17:26:59,匿名ユーザ,Press button,453
2024-11-08 17:27:00,149,2024/11/08, 17:27:00,匿名ユーザ,Press button,463
2024-11-08 17:27:00,329,2024/11/08, 17:27:00,匿名ユーザ,Press button,473
2024-11-08 17:27:00,498,2024/11/08, 17:27:00,匿名ユーザ,Press button,483
2024-11-08 17:27:00,657,2024/11/08, 17:27:00,匿名ユーザ,Press button,493
2024-11-08 17:27:00,832,2024/11/08, 17:27:00,匿名ユーザ,Press button,500
2024-11-08 17:35:28,046,2024/11/08, 17:35:28,匿名ユーザ,Press button,50
2024-11-08 17:35:28,192,2024/11/08, 17:35:28,匿名ユーザ,Press button,60
2024-11-08 17:35:28,360,2024/11/08, 17:35:28,匿名ユーザ,Press button,70
2024-11-08 17:35:28,500,2024/11/08, 17:35:28,匿名ユーザ,Press button,79
2024-11-08 17:35:28,642,2024/11/08, 17:35:28,匿名ユーザ,Press button,89
2024-11-08 17:35:28,801,2024/11/08, 17:35:28,匿名ユーザ,Press button,99
2024-11-08 17:35:28,960,2024/11/08, 17:35:28,匿名ユーザ,Press button,109
2024-11-08 17:35:29,120,2024/11/08, 17:35:29,匿名ユーザ,Press button,119
